f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,objectId,codigo_mun,EXCEL_ID,GlobalID
25281,Fosca,3.33333333333333,0.616016427104723,1.04166666666667,2.53164556962025,1.04046242774566,1.16525423728814,3.33333333333333,0,1.12994350282486,3.44827586206897,0.87463556851312,1.24688279301746,1.18959107806691,45,25281,c46ed21a-98c7-4944-b467-68367d7e14a1,6786fc4a-fdfd-42f8-ab18-f3dd43fb916a
25286,Funza,3.07692307692308,1.02827763496144,0.481927710843374,1.42857142857143,0.920598388952819,0.991080277502478,1.28205128205128,1.26288659793814,2.64187866927593,1.50517403574788,1.81746861924686,1.77935943060498,1.69753086419753,46,25286,251f5475-3a15-4d3a-92f2-ba19cdeaa6b7,a35204dc-5933-425d-b34c-44132f497224
25288,Fúquene,0,0.795228628230616,0.218340611353712,0.628930817610063,0.478468899521531,0.498338870431894,0,0,5.47945205479452,2.94117647058824,3.44827586206897,3.33333333333333,1.06382978723404,47,25288,3beae871-4881-423a-8a5f-7dadca3eab25,df19bebd-1df1-480e-aa81-f32b51c694fb
25290,Fusagasugá,3.26975476839237,2.96752519596865,3.58126721763085,1.45631067961165,3.24549237170596,3.06198655713219,3.47666971637694,1.86468646864686,3.45696795102629,3.27510917030568,2.69929959864642,2.77185501066098,2.83466264281095,48,25290,1e1df4d5-145a-4caf-8bb0-bb78a1c357af,18a5467c-1007-4c84-8b54-273080adfda0
25293,Gachala,0,0.766283524904214,1.43540669856459,0,0.99601593625498,0.968992248062015,0,1.52671755725191,0.5,0,0.831024930747923,0.601202404809619,0.788177339901478,49,25293,02a88937-3460-4145-b6b1-ef8aebfb6374,cb282c60-1015-4e87-92f3-dfcf49b1930d
25295,Gachancipá,4.22535211267606,0.97323600973236,0,0,1.45228215767635,1.45228215767635,1.02040816326531,0.694444444444444,3.16265060240964,2.41545893719807,1.94319880418535,2.00647249190939,1.8746916625555,50,25295,97548543-7fef-4f5d-ad03-28211d2ee9ed,b949e24b-4845-4f8e-9ce2-afff194a010d
25297,Gachetá,0,0,3.7037037037037,0,0.628930817610063,0.617283950617284,0.78125,0.246305418719212,0.823723228995058,0.328947368421053,0.613496932515337,0.55363321799308,0.569653029518384,51,25297,fd072faf-e44e-46c2-95e5-36bf26b8082e,0c87df48-f3dc-42fe-beab-cd07417d8581
25299,Gama,3.44827586206897,0.671140939597315,0,0,1.12359550561798,1.12359550561798,0,0,2.02020202020202,0,1.15942028985507,0.956937799043062,1.00671140939597,52,25299,08b91155-ef7d-4413-bc4f-d8f6396e8e29,8c520a2e-3f45-44e5-9e69-93f92c3c90f9
25307,Girardot,1.72413793103448,4.91329479768786,2.2140221402214,2.32558139534884,3.55555555555556,3.41655716162943,2.57731958762887,6.07734806629834,10.1899027327466,8.61244019138756,7.61224489795918,7.74216460978425,7.46839654025283,53,25307,d54ea50f-84fc-4d6b-a7b8-86250fe38148,bb7ddf98-38a6-40eb-b4b3-85d96aae4493
25312,Granada,5.05050505050505,2.99145299145299,0,0,3.35097001763668,3.35097001763668,2.32558139534884,1.49253731343284,6.92307692307692,2.85714285714286,4.9338146811071,4.63439752832132,4.16124837451235,54,25312,d568f2a0-ed7c-4885-86e4-e1c4a647bfef,b6068dc0-e70c-4bed-b0af-faec54dfd94b
